2023/07/21 18:51:09.658	001	00016	02643	346.02	  0.00
2023/07/21 19:16:54.992	001	00017	02643	 69.55	-77.67
2023/07/21 19:42:40.426	001	00017	02644	153.06	  0.00
2023/07/21 20:08:21.891	001	00018	02644	236.58	 77.68
2023/07/21 20:34:03.270	001	00018	02644	320.13	  0.00
2023/07/21 20:59:48.632	001	00019	02644	 43.66	-77.67
2023/07/21 21:25:34.089	001	00019	02645	127.17	  0.00
2023/07/21 21:51:15.532	001	00020	02645	210.69	 77.67
2023/07/21 22:16:56.899	001	00020	02645	294.24	  0.00
2023/07/21 22:42:42.299	001	00021	02645	 17.77	-77.67
2023/07/21 23:08:27.768	001	00021	02646	101.28	  0.00
2023/07/21 23:34:09.202	001	00022	02646	184.81	 77.67
2023/07/21 23:59:50.590	001	00022	02646	268.35	  0.00
2023/07/22 00:25:36.006	001	00023	02646	351.87	-77.67
2023/07/22 00:51:21.456	001	00023	02647	 75.38	  0.00
2023/07/22 01:17:02.906	001	00024	02647	158.92	 77.67
2023/07/22 01:42:44.333	001	00024	02647	242.46	  0.00
2023/07/22 02:08:29.755	001	00025	02647	325.98	-77.67
2023/07/22 02:34:15.179	001	00025	02648	 49.49	  0.00
2023/07/22 02:59:56.607	001	00026	02648	133.03	 77.67
2023/07/22 03:25:38.027	001	00026	02648	216.56	  0.00
2023/07/22 03:51:23.447	001	00027	02648	300.08	-77.67
2023/07/22 04:17:08.857	001	00027	02649	 23.60	  0.00
2023/07/22 04:42:50.264	001	00028	02649	107.14	 77.67
2023/07/22 05:08:31.671	001	00028	02649	190.67	  0.00
2023/07/22 05:34:17.096	001	00029	02649	274.19	-77.68
2023/07/22 06:00:02.511	001	00029	02650	357.71	  0.00
2023/07/22 06:25:43.896	001	00030	02650	 81.25	 77.68
2023/07/22 06:51:25.282	001	00030	02650	164.78	  0.00
2023/07/22 07:17:10.701	001	00031	02650	248.30	-77.68
2023/07/22 07:42:56.122	001	00031	02651	331.82	  0.00
2023/07/22 08:08:37.509	001	00032	02651	 55.36	 77.68
2023/07/22 08:34:18.888	001	00032	02651	138.90	  0.00
2023/07/22 09:00:04.290	001	00033	02651	222.42	-77.67
2023/07/22 09:25:49.721	001	00033	02652	305.93	  0.00
2023/07/22 09:51:31.145	001	00034	02652	 29.46	 77.67
2023/07/22 10:17:12.545	001	00034	02652	113.00	  0.00
2023/07/22 10:42:57.966	001	00035	02652	196.53	-77.67
2023/07/22 11:08:43.440	001	00035	02653	280.04	  0.00
2023/07/22 11:34:24.882	001	00036	02653	  3.57	 77.67
